term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_my,comment_my,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
Shepherd,Noun,Worker - Empire,,,,,Овчар,,,,Pastor,,pastýř,,,,Schäfer,,Βοσκός,,,,,,,,,,Pastor,,,,,,,,,,Berger,,,,,,cìobair,fir. iol. -ean,,,,,,,,,Juhász,,,,,,,,,,羊飼い,,,,,,,,,,pastor,,,,,,,,,,Gjeter,,Scheepker,,Schapenboer,,,,,,Pasterz,,ovinocultor,,Pastor,,,,Пастух,,,,,,pastier,,,,,,Fåraherde,,,,Пастух,,,,,,,
Ship,Noun,Tribal unit,,,,,Кораб,,,,Vaixell,,loď,,Skib,,Schiff,,Πλοίο,,,,,,,,,,Barco,,,,,,,,,,Navire,,,,,,long,luinge | longan,,,,,,,Brod,,Hajó,,,,,,,,Nave,,船,,,,,,,,,,,,,,,,,,,,,,Schipp,,Schip,,,,,,Statek,,navio,,Navio,,,,Судно,,,,,,loď,,,,,,Skepp,,,,,,,,船,,,
Ship under Construction,Noun,Site where a Shipyard is constructiong a Ship,,,,,,,,,Vaixell en Construcció,,,,Skib under konstruktion,,Schiffsbaustelle,,Πλοίο υπό Ναυπήγηση,,,,,,,,,,Barco en construcción,,,,,,,,,,Navire en construction,,,,,,Làrach togail luinge,,,,,,,,Brod u izgradnji,,Hajó építés alatt,,,,,,,,Nave in costruzione,,建造中の船,,,,,,,,,,,,,,,,,,,,,,Schipp-Baustee,,Droogdok,,,,,,Budowany statek,,construção de navio,,,,,,Строящееся судно,,,,,,loď vo výstavbe,,,,,,Skeppsbyggnad pågår,,,,,,,,,,,
Shipwright,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Корабостроител,,,,Mestre d'aixa,,loďař,,Skibsbygger,,Schiffbauer,(ohne s),Ναυπηγός,,,,,,,,,,Constructor Naval,,,,,,,,,,Ouvrier de chantier naval,,,,,,saor-luinge,fir. gin. ┐ iol. saoir,,,,,,,Brodograditelj,,Hajóács,,,,,,,,Maestro d'ascia,,船大工,,,,,,,,,,,,,,,,,,,,Skipsbygger,,Schippebauer,Anyone who comes up with a better translation please replace this,Scheepsbouwer,,,,,,Szkutnik,,construtor naval,,Construtor Naval,,,,Корабел,,,,,,lodiar,,,,,,Skeppsbyggare,,,,,,,,船木工,,,
Shipyard,Noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians",,,,,Корабостроителница,,,,Drassana,,loděnice,,Skibsværft,,Werft,,Ναυπηγείο,,,,,,,,,,Astillero,,,,,,,,,,Chantier naval,,,,,,doca,dhoca | docannan | dhocannan,,,,,,,Brodogradilište,,Hajógyár,,,,,,,,Cantiere Navale,,造船所,,,,,,,,,,,,,,,,,,,,Skipsverft,,Warft,?,Scheepswerf,,,,,,Stocznia,,estaleiro naval,,Estaleiro Naval,,,,Верфь,,,,,,lodenica,,,,,,Skeppsvarv,,,,,,,,造船厂,,,
Short Sword,Noun,Ware - Weapon - Frisians,,,,,,,,,Espasa curta,,,,,,Kurzschwert,,Βραχύ Ξίφος,,,,,,,,,,,,,,,,,,,,,,,,,,claidheamh-beag,,,,,,,,,,,,,,,,,,,,小剣,,,,,,,,,,,,,,,,,,,,,,Lüttes Sweert,,,,,,,,,,,,,,,,Короткий меч,,,,,,,,,,,,,,,,,,,,,,,
Shovel,Noun,"Ware - Tool - Atlanteans, Barbarians, Empire, Frisians",,,,,Лопата,,,,Pala,,lopata,,Skovl,,Schaufel,,Φτυάρι,,,,,,,,,,Pala,,,,,,,,,,Pelle,,,,,,sluasaid,"boir. gin. -e, iol. -ean",,,,,,,,,Lapát,,,,,,,,Vanga,,シャベル,,,,,,,,,,"rutila, pala",not sure which word is better,,,,,,,,,Spade,,Schüppe,,Schop,,,,,,Łopata,,pá,,Pá,,,,Лопата,,,,,,lopata,,,,,,Spade,,,,,,,,,,,
Show Building Spaces,Noun,GUI. Formerly Build help,,,,,,,,,Mostra els Espais per Construir,,ukaž místa ke stavění,,Vis byggepladser,,Bauhilfe anzeigen,,Εμφάνιση Οικοδομήσιμων Εκτάσεων,,,,,,,,,,Mostrar Zonas de Construcción,,,,,,,,,,Montrer les espaces de constructions,,,,,,Seall ionadan togail,,,,,,,,,,Épülethelyek megjelenítése,,,,,,,,Mostra gli spazi edificabili,,建設スペースを表示,,,,,,,,,,,,,,,,,,,,,,Wies Rüümte tum Bauen,,Toon Bouwlocaties,,,,,,Pokazuj miejsca na budowę,,Mostrar lotes de construção,,,,,,Показать места строительства,,,,,,,,,,,,Visa byggnadsytor,,,,,,,,,,,
Shrine of Neptune,Noun,Mission object – Empire Scenario 3,,,,,,,,,Temple de Neptú,,,,,,Neptunschrein,ohne Binde-s,Βωμός Ποσειδώνα,,,,,,,,,,,,,,,,,,,,Autel de Neptune,,,,,,,,,,,,,,,,,,,,,,,,,,ネプチューンの祭壇,,,,,,,,,,,,,,,,,,,,,,Neptun-Altar,See comment for 'shrine',,,,,,,,,Relicário do Netuno,,,,,,Святыня Нептуна,,,,,,,,,,,,,,,,,,,,,,,
Sidolus,Noun,Character - Atlantean,,,,,Сидолий,,,,Sidolus,,,,Sidolus,,Sidolus,,Σίδολος,,,,,,,,,,Sidolus,,,,,,,,,,Sidolus,,,,,,Sidolus,Shidoluis |,,,,,,,,,Sidolus,,,,,,,,,,シドラス,,,,,,,,,,,,,,,,,,,,,,Sidoolus,,,,,,,,Sidolus,,Sidolus,,,,,,Сидолюс,Персонаж - Атланты,,,,,Sidolus,G: Sidola,,,,,Sidolus,,,,,,,,,,,
Sire,Noun,,,,,,,,,,Senyor,,,,,,,,Άρχοντας,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mienheer,,,,,,,,,,Majestade,,,,,,Сир,,,,,,,,,,,,,,,,,,,,,,,
Small Armor Smithy,Noun,Production Building - Frisians,,,,,,,,,Taller petit d'armadures,,,,,,Kleine Rüstungsschmiede,,Μικρό Πανοπλοποιείο,,,,,,,,,,,,,,,,,,,,petite forge d'armures,,,,,,ceàrdach armachd bheag,,,,,,,,,,,,,,,,,,,,武具製作所,,,,,,,,,,,,,,,,,,,,,,Lütte Wapensmee,,,,,,,,,,,,,,,,Маленькая бронная,,,,,,,,,,,,,,,,,,,,,,,
Small Tower,Noun,Military Building - Atlanteans,,,,,Малка кула,,,,Torrella,,malá věž,,Lille tårn,,Spähturm,,Μικρός Πύργος,,,,,,,,,,Torre Pequeña,,,,,,,,,,Petite tour,,,,,,tùr beag,thùr beag | tùir bhig | thùir bhig | tùir bheaga | thùir bheaga,,,,,,,,,Kis torony,,,,,,,,Torre piccola,,小監視塔,,,,,,,,,,turris parva,,,,,,,,,,Lite tårn,,Toorntje,,Kleine Toren,,,,,,Mała wieża,,torreão,,Torre de vigia,,,,Малая Башня,,,,,,malá veža,,,,,,Litet torn,,,,Мала вежа,,,,,,,
Small buildings,Noun,,,,,,,,,,Edificis petits,,,,,,Kleine Gebäude,,Μικρά κτίρια,,,,,,,,,,,,,,,,,,,,,,,,,,togalaichean beaga,,,,,,,,,,,,,,,,,,,,小サイズの建物,,,,,,,,,,,,,,,,,,,,,,Lütte Huus,,,,,,,,,,,,,,,,Малые здания,или строения,,,,,,,,,,,Små byggnader,,,,Малі будівлі,,,,,,,
Smelter,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Топилар,,,,Fonedor,,slévač,,Smelteværksarbejder,,Schmelzer,,Χυτευτής,,,,,,,,,,Forjador,,,,,,,,,,Fondeur,,,,,,leaghadair,fir. iol. -ean,,,,,,,,,Kohász,,,,,,,,Fonditore,,製錬職人,,,,,,,,,,aerarius,,,,,,,,,,Smelter,,Smelter,,Smelter,,,,,,Hutnik,,fundidor,,Fundidor,,,,Литейщик,,,,,,tavič,,,,,,Metallsmältare,,,,,,,,,,,
Smelting Works,Noun,"Production Building - Atlanteans, Barbarians, Empire",,,,,Топилна,,,,Forn de Metalls,,slévárna,,Smelteværker,,Hochofen,,Χυτήριο,,,,,,,,,,Forja,,,,,,,,,,Fonderie,,,,,,ceàrdach leaghadair,cheàrdach leaghadair|ceàrdaich leaghadair|ceàrdaichean leaghadair |cheàrdaichean leaghadair,,,,,,,,,Kohó,,,,,,,,Fonderia,,製錬所,,,,,,,,,,officina aeraria,,,,,,,,,,Smelteverk,,Smeltwark,,Hoogoven,,,,,,Huta,,fundição,,Fundição,,,,Литейная,,,,,,taviareň,,,,,,Smältverk,,,,,,,,,,,
Smoked Fish,Noun,"Ware - Atlanteans, Frisians",,,,,Пушена риба,,,,Peix fumat,,uzená ryba,,Røget fisk,,Räucherfisch,,Καπνιστό Ψάρι,,,,,,,,,,Pescado Ahumado,,,,,,,,,,Poisson fumé,,,,,,iasg-rèiste,fir. gin. ┐ iol. èisg,,,,,,,,,Füstölt hal,,,,,,,,Pesce affumicato,,燻製魚,,,,,,,,,,piscis fumo siccata,,,,,,,,,,Røkt fisk,,Rökelfiss,,Gerookte Vis,,,,,,Wędzona ryba,,peixe fumado,,Peixe defumado,,,,Копчёная рыба,,,,,,údená ryba,,,,,,Rökt fisk,,,,,,,,,,燻魚,
Smoked Meat,Noun,"Ware - Atlanteans, Frisians",,,,,Пушено месо,,,,Carn fumada,,uzené maso,,Røget kød,,Räucherfleisch,,Καπνιστό Κρέας,,,,,,,,,,Carne Ahumada,,,,,,,,,,Viande fumée,,,,,,feòil-rèiste,"boir. gin. feòla, iol. -ean",,,,,,,,,Füstölt hús,,,,,,,,Carne affumicata,,燻製肉,,,,,,,,,,caro fumo siccatus,,,,,,,,,,Røkt kjøtt,,Rökelfleesk,,Gerookt Vlees,,,,,,Wędzone mięso,,carne fumada,,Carne defumada,,,,Копчёное Мясо,,,,,,údené mäso,,,,,,Rökt kött,,,,,,,,,,燻肉,
Smoker,Noun,"Worker - Atlanteans, Frisians",,,,,Опушвач,,,,Fumador,,uzenář,,Røgeriarbejder,,Räucherer,,Καπνιστής,,,,,,,,,,Ahumador,,,,,,,,,,Fumeur,,,,,,toitear,gn. ag. -eadh,,,,,,,,,Füstölő,,,,,,,,Affumicatore,,燻製職人,,,,,,,,,,,,,,,,,,,,Røyker,,Rökeler,,Roker,,,,,,Wędzarz,,defumador,,Fumeiro,,,,Коптильщик,,,,,,údenár,,,,,,Rökare,,,,,,,,,,,
Smokery,Noun,"Production Building - Atlanteans, Frisians",,,,,Пушилна,,,,Fumador,,udírna,,Røgeri,,Räucherei,,Καπνιστήριο,,,,,,,,,,Ahumadero,,,,,,,,,,Fumoir,,,,,,taigh-toitidh,thaigh-toitidh | taighe-thoitidh | thaighe-thoitidh | taighean-toitidh | thaighean-toitidh,,,,,,,,,Füstölő,,,,,,,,Casa dell'affumicatore,,燻製工房,,,,,,,,,,fumarium,,,,,,,,,,Røkeri,,Rökelkamer,,Rokerij,,,,,,Wędzarnia,,fumeiro,,,,,,Коптильня,,,,,,udiareň,,,,,,Rökeri,,,,,,,,,,,
Snack,Noun,Ware - Barbarians,,,,,Закуска,,,,Aperitiu,(revisar traducció),svačina,,Mellemmåltid,,Snack,,Κολατσιό,,,,,,,,,,Bocadillo,Mercancía - Bárbaros,,,,,,,,,Casse-croûte,,,,,,lòn,lòin|,,,,,,,,,Uzsonna,,,,,,,,Spuntino,,軽食,,,,,,,,,,gustatio,,,,,,,,,,Matbit,,Spies,,Snack,"stdh: closer to English, clearer expression of progression Ration < Snack < Meal",,,,,Przekąska,,lanche,,Lanche,,,,Закуска,,,,,,desiata,,,,,,Matportion,,,,Закуска,,,,,,,
Snacks,Noun,,,,,,,,,,Aperitius,,svačiny,,,,Snacks,,Κολατσιά,,,,,,,,,,Bocadillos,,,,,,,,,,Casse-croûtes,,,,,,,,,,,,,,,,Uzsonnák,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiesen,,,,,,,,,,lanches,,,,,,Закуски,,,,,,,,,,,,Matportioner,,,,,,,,,,,
Soldier,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Войник,,,,Soldat,,voják,,Soldat,,"Soldat (E,A), Krieger (B,F)",,Στρατιώτης,,,,,,,,,,Soldado,,,,,,,,,,Soldat,,,,,,saighdear,shaighdear | saighdeir | shaighdeir | saighdearan | shaighdearan,,,,,,,,,Katona,,,,,,,,Soldato,,兵士,,,,,,,,,,"miles, itis",,,,,,,,,,Soldat,,Soldat,,Soldaat,,,,,,Żołnierz,,"guerreiro (B), soldado (A, E)",,"Guerreiro (B), Soldado (A, E)",,,,Солдат,,,,,,vojak,,,,,,Soldat,,,,,,,,,,,
Spear,Noun,Ware - Weapon - Empire. Replaces Lance.,,,,,Копие,,,,Llança,,oštěp,,Spyd,,Speer,,Ακόντιο,,,,,,,,,,Lanza,,,,,,,,,,Lance,,,,,,sleagh,"boir. gin. slèigh, iol. -an",,,,,,,,,Lándzsa,,,,,,,,Lancia,,鉄槍,,,,,,,,,,,,,,,,,,,,,,Pieke,Pieke | Speer,Speer,,,,,,Włócznia,,lança,,,,,,Копье,,,,,,kopija,,,,,,Spjut,,,,Спис,,,,,,,
Spider Breeder,Noun,Worker - Atlanteans,,,,,Паяковъд,,,,Criador d'Aranyes,,chovatel pavouků,,Silkeavler,,Spinnenzüchter,,Αραχνοτρόφος,,,,,,,,,,Criador de Arañas,,,,,,,,,,Éleveur d'araignées,,,,,,rainsear dhamhan,"rainsear fir. gin. -eir, iol. -an",,,,,,,,,Póktenyésztő,,,,,,,,Allevatore di ragni,,蜘蛛園主,,,,,,,,,,,,,,,,,,,,Edderkoppoppdretter,,Spinnentüchter,,Spinnenkweker,,,,,,Hodowca pająków,,criador de aranhas,,Fazendeiro de aranhas,,,,Пауковод,,,,,,chovateľ pavúkov,,,,,,Spindelodlare,,,,,,,,,,,
Spider Farm,Noun,Production Building - Atlanteans,,,,,Ферма за паяци,,,,Granja d'aranyes,,pavoučí farma,,Silkelandbrug,,Spinnenfarm,Nach Build 20 umzubenennen in Spinnenzucht,Αραχνοτροφείο,,,,,,,,,,Granja de Arañas,,,,,,,,,Hämähäkkitarha,Ferme aracnéïcole,,,,,,rainse dhamhan,rainsean dhamhan|,,,,,,,,,Póktenyészet,,,,,,,,Allevamento di ragni,,蜘蛛園,,,,,,,,,,,,,,,,,,,,Edderkoppgård,,Spinnentüchteree,,Spinnenboerderij,,,,,,Ferma pająków,,criação de aranhas,,Fazenda de aranhas,,,,Паучья Ферма,,,,,,pavúčia farma,,,,,,Spindelodling,,,,,,,,,,,
Spider Silk,Noun,Ware - Atlanteans. Replaces Spideryarn.,,,,,Паяжинна коприна,,,,Seda d'Aranya,,Pavoučí hedvábí,,Edderkoppesilke,,Spinnenseide,,Μετάξι Αράχνης,,,,,,,,,,Seda de Araña,,,,,,,,,,Soie d'araignée,,,,,,snàth-sìoda,"fir. gin. snàith, iol. snàithean",,,,,,,,,Pókselyem,,,,,,,,,,蜘蛛糸,,,,,,,,,,,,,,,,,,,,,,Spinnensied,,Spinnengaren,,,,,,Pajęczy jedwab,,seda de aranha,,,,,,Паучий шёлк,,,,,,pavúčí hodváb,,,,,,Spindeltråd,,,,,,,,,,,
Spidercloth,Noun,Ware - Atlanteans,,,,,Паяжинен плат,,,,Tela de seda d'aranya,,pavoučí látka,,Silketøj,,Spinnenstoff,,Αραχνοΰφασμα,,,,,,,,,,Tela de Araña,,,,,,,,,,Étoffe de soie d'araignée,,,,,,sìoda,fir. iol. -chan,,,,,,,,,Pókszövet,,,,,,,,Tessuto di ragno,,蜘蛛布,,,,,,,,,,textum araneum,,,,,,,,,,,,Spinnenstoff,,Spinnendoek,,,,,,Pajęcza tkanina,,tecido de teia,,Tecido,,,,Шёлк,,,,,,pavúčia látka,,,,,,Spindeltyg,,,,,,,,,,蜘蛛絲衣服,
Standing Stone,Noun,,,,,,Побит камък,,,,Monòlit,,,,,,Hinkelstein,,Όρθιος Λίθος,,,,,,,,,,Monolito,,,,,,,,,,Pierre dréssée,,,,,,tursa,tursachan |,,,,,,,,,Szikla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaventsmann,,,,,,,,,,menir,,,,,,Стоячий камень,,,,,,,,,,,,Rest sten,,,,,,,,,,,
Statistics,Noun,GUI,,,,,Статистики,,,,Estadístiques,,Statistika,,Statistik,,Statistiken,,Στατιστικά,,,,,,,,,,Estadísticas,,,,,,,,,,Statistiques,,,,,,stadastaireachd,boir. neo-ath.,,,,,,,,,Statisztika,,,,,,,,Statistiche,,統計,,,,,,,,,,census,"pl., gen. censuum",,,,,,,,,,,Tahlen över,"XXX Statistics = Tahlen över XXX;
Statistics = Tahlen över alls",Statistieken,,,,,,Statystyki,,estatísticas,,Estatísticas,,,,Статистика,,,,,,Štatistiky,,,,,,Statistik,,,,,,,,,,,
Steel Shield,Noun,Ware - Armor - Atlanteans,,,,,Стоманен щит,,,,Escut d'Acer,,ocelový štít,,Stålskjold,,Stahlschild,,Ατσάλινη Ασπίδα,,,,,,,,,,Escudo de Acero,,,,,,,,,,Bouclier en acier,,,,,,sgiath stàilinn,"sgiath boir. gin. sgèithe, iol. -an",,,,,,,,,Acélpajzs,,,,,,,,Scudo d'acciao,,スティールシールド,,,,,,,,,,scutum chalybis,,,,,,,,,,Stålskjold,,Stahlschild,,Stalen Schild,,,,,,Stalowa tarcza,,escudo de aço,,Escudo de Ferro,,,,Стальной Щит,,,,,,oceľový štít,,,,,,Stålsköld,,,,,,,,,,,
Steel Trident,Noun,Ware - Weapon - Atlanteans,,,,,Стоманен тризъбец,,,,Trident d'Acer,,ocelový trojzubec,,,,Stahl-Dreizack,,Ατσάλινη Τρίαινα,,,,,,,,,,Tridente de Acero,,,,,,,,,,Trident d'acier,,,,,,muirgheadh stàilinn,"muirgheadh boir. gin. -gheidh, iol. -an",,,,,,,,,Acélszigony,,,,,,,,Tridente d'acciaio,,スティールトライデント,,,,,,,,,,tridens chalybis,,,,,,,,,,Ståltrefork,,Stahl-Dreespitz,,Stalen Drietand,,,,,,Stalowy Trójząb,,tridente de aço,,Tridente de ferro,,,,Стальной Трезубец,,,,,,oceľový trojzubec,,,,,,Ståltreudd,,,,,,,,,,,
Stock,Noun,GUI,,,,,Запаси,,,,Estoc,,zásoby,,,,Lager,,Απόθεμα,,,,,,,,,,Existencias,,,,,,,,,,Stock,,,,,,stòras,stòrais | stòrasan,,,,,,,,,Készlet,,,,,,,,Scorte,,ストック,,,,,,,,,,,,,,,,,,,,,,Bestand,,Voorraad,,,,,,Zasoby,,provisão,,Estoque,,,,Запасы,,,,,,Zásoby,,,,,,Lager,,,,,,,,,,,
Stock menu,Noun,,,,,,,,,,Finestra d'estoc,,,,,,,,Μενού αποθέματος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ストックメニュー,,,,,,,,,,,,,,,,,,,,,,Bestandsverwaltung,,,,,,,,,,,,,,,,Запасы,,,,,,,,,,,,,,,,,,,,,,,
Stone,Noun,OBSOLETE. Use Granite. Ware - Atlanteans,,,,,Къмък,,,,Pedra,,kámen,,Sten,,Stein,,Πέτρα,,,,,,,,,,,,,,,,,,,,Pierre,,,,,,,"boir. gin. cloiche, iol. -an",,,,,,,,,Kő,,,,,,,,Pietra,,石材,,,,,,,,,,saxum,pl. saxa,,,,,,,,,Stein,,Steen,,Steen,,,,,,Kamień,,pedra,,Pedra,,,,Камень,,,,,,kameň,,,,,,Sten,,,,,,,,,,石頭,
Stonecutter,Noun,Worker - Atlanteans,,,,,Каменоделец,,,,Pedrer,(stonecutter-stonemason),kameník,,Stenhugger,,Steinmetz,,Λιθοκόπος,,,,,,,,,,Cantero,,,,,,,,,,Tailleur de pierres,,,,,,tochailtear,"-eir, sm",,,,,,,,,Kőfaragó,,,,,,,,Tagliapietre,,石切り,(元: 石工),,,,,,,,,,,,,,,,,,,Steinkutter,,Flinthauer,,Steenhouwer,,,,,,Kamieniarz,,canteiro,,Lapidador,,,,Камнетёс,"Поменял ""каменотёс"" на ""камнетёс"".",,,,,kamenár,,,,,,Stenhuggare,,,,,,,,,,,
Stonemason,Noun,"Worker - Barbarians, Empire, Frisians",,,,,Каменоделец,,,,Picapedrer,(stonecutter-stonemason),kameník,,Stenhugger,,Steinmetz,,Λιθοξόος,,,,,,,,,,Mampostero,,,,,,,,,,Tailleur de pierres,,,,,,clachair,chlachair | clachairean | chlachairean,,,,,,,,,Kőfaragó,,,,,,,,Tagliapietre,,石工,,,,,,,,,,,,,,,,,,,,Steinhugger,,Flintslager,,Steenhouwer,,,,,,Kamieniarz,,pedreiro,,Pedreiro,,,,Камнетес,"Заменил каменщик на камнетес, т.к. каменщик это строитель, укладывающий кирпич, а камнетес - древняя профессия - люди высекающие камни из скал.
Считаю что, это как раз то что подразумевается в игре.",,,,,kamenár,,,,,,Stenhuggare,,,,,,,,,,,
Stonemason’s House,Noun,Production Building - Empire,,,,,Каменоделска къща,,,,Taller de la pedra,"(hi treballen pedrers, que necessiten pics i poden treballar també a les pedreres)",domek kameníka,,Stenhuggeri,,Steinmetz,,Σπίτι Λιθοξόου,,,,,,,,,,Mampostería,Edificio de producción - Imperio,,,,,,,,,Marbrerie,,,,,,taigh clachair,taigh fir. gin. -e; iol. -ean,,,,,,,,,Kőfaragóház,,,,,,,,Casa del tagliapietre,,石工小屋,,,,,,,,,,,,,,,,,,,,Steinhuggers hus,,Steenbickerhuus,,Steenhouwershuis,,,,,,Pracownia kamieniarza,,casa do pedreiro,,Casa do Pedreiro,,,,Домик Камнетеса,"Заменил каменщика на камнетеса, т.к. каменщик это строитель, укладывающий кирпич, а камнетес - древняя профессия - люди высекающие камни из скал.
Считаю что, это как раз то что подразумевается в игре.",,,,,kamenársky dom,,,,,,Stenhuggeri,,,,,,,,,,,
Stones,Noun,"This used to be Ware - Empire, is now a world resource.",,,,,Къмъни,,,,Roques,,,,Sten,,Gestein,,Πέτρες,,,,,,,,,,Piedras,"Esto solía ser mercancía - Imperio, es ahora un recurso mundial",,,,,,,,,Pierres,,,,,,clachan,chlachan|,,,,,,,,,Kövek,,,,,,,,Pietre,,石,,,,,,,,,,saxa,sg. saxum,,,,,,,,,Steiner,,Stenen,,Stenen,,,,,,Kamienie,,pedras,,Pedras,,,,Камни,,,,,,kamene,,,,,,Stenar,,,,,,,,,,石頭,
Story Message Window,Noun,Used only in Tutorial 01.,,,,,,,,,Finestra de l'Historial de Missatges,,příběhové okno,,,,,,Παράθυρο Μηνυμάτων Διήγησης,,,,,,,,,,Ventana de mensajes de trama,,,,,,,,,,Fenêtre des messages de l'histoire,,,,,,,,,,,,,,,,Történet üzenetablak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertellselfenster,,Verhaallijnvenster,,,,,,,,,,,,,,Окно сообщений,,,,,,,,,,,,Historieberättelsefönster,,,,,,,,,,,
Strawberry Bush,Noun,Immovable - Frisians,,,,,,,,,Arbust maduixer,,,,,,Erdbeerfeld,,Φραουλιά,,,,,,,,,,,,,,,,,,,,,,,,,,preas shùbhan-làir,,,,,,,,,,,,,,,,,,,,イチゴ畑,,,,,,,,,,,,,,,,,,,,,,Eerdjebeei,Pl.: Eerdjebejen,,,,,,,,,,,,,,,Клубника,Клубничный куст,,,,,,,,,,,,,,,,,,,,,,
Strong Beer,Noun,"Ware – Barbarians.
Replaces Strongbeer",,,,,,,,,Cervesa negra,,Silné pivo,,Stærk øl,,Starkbier,,Δυνατή Μπύρα,,,,,,,,,,Cerveza Fuerte,"Mercancía - Bárbaro. Reemplaza 
""Strongbeer""",,,,,,,,,Bière Forte,,,,,,leann làidir,leanna làidir|,,,,,,,,,Erős sör,,,,,,,,Birra forte,,強ビール,,,,,,,,,,,,,,,,,,,,,,Deftigs Beer,,Sterk Bier,,,,,,,,cerveja forte,,,,,,Крепкое пиво,,,,,,,,,,,,Starköl,,,,,,,,,,,
Stronghold,Noun,OBSOLETE. Building got removed.,,,,,Твърдина,,,,-OBSOLET-,,Pevnost,,Fæstning,,,,Οχυρό,,,,,,,,,,,,,,,,,,,,Place forte,,,,,,daingean,"boir. gin. -ein, iol. -ngnean",,,,,,,,,Erőd,,,,,,,,Roccaforte,,,,,,,,,,,,,,,,,,,,,,,,,,Burcht,,,,,,Warownia,,forte,,Forte,,,,Укрепление,"(Note: здание убрано из игры. если найдёте строки, относящиеся к нему, не трогайте их)",,,,,bašta,,,,,,Högborg,,,,,,,,,,,
Studded Fur Garment,Noun,Ware - Armor - Frisians,,,,,,,,,Vestit de pell tatxonat,,,,,,Beschlagenes Fellgewand,,Ενισχυμένο Γούνινο,,,,,,,,,,,,,,,,,,,Niitoitettu Turkisvaate,,,,,,,còta-bèin reulagach,,,,,,,,,,,,,,,,,,,,鋲打ち革鎧,,,,,,,,,,,,,,,,,,,,,,Beslaane Fellkluft,,,,,,,,,,,,,,,,Шипованная меховая одежда,,,,,,,,,,,,,,,,,,,,,,,
Tabard,Noun,Ware - Armor - Atlanteans,,,,,Наметало,,,,Tabard,,vesta,,Våbenkjortel,,Wappenrock,,Χιτώνας,,,,,,,,,,Tabardo,,,,,,,,,,Tabard,,,,,,lèine,lèintean |,,,,,,,,,Köntös,,,,,,,,Tabarro,,タバード,,,,,,,,,,tunica,,,,,,,,,,,,Kluft,,Tabberd,,,,,,Tabard,,túnica,,Manto,,,,Накидка,,,,,,kabátec,,,,,,Vapenrock,,,,,,,,,,,
Tailor’s Shop,Noun,Production Building - Frisians,,,,,,,,,Taller del sastre,,,,,,Schneiderei,,Ραφείο,,,,,,,,,,,,,,,,,,,Räätälin Puoti,atelier de tailleur,,,,,,taigh tàillearachd,,,,,,,,,,,,,,,,,,,,仕立工房,,,,,,,,,,,,,,,,,,,,,,Sniederee,,,,,,,,,,,,,,,,Ателье,,,,,,,,,,,,,,,,,,,,,,,
Tavern,Noun,"Production Building - Barbarians, Empire, Frisians",,,,,,,,,Taverna,,hospoda,,Værtshus (Traktørsted),,Taverne,,Ταβέρνα,,,,,,,,,,,,,,,,,,,,Taverne,,,,,,taigh-tàirn,thaigh-tàirn | taighean-tàirn | thaighean-tàirn,,,,,,,,,,,,,,,,,,,酒場,,,,,,,,,,,,,,,,,,,,,,Kneipe,,Taverne,"formerly: ""Taveerne""",,,,,,,taberna,,,,,,Таверна,,,,,,,,,,,,Krog,,,,,,,,,,,
